23.06.2015 13:25:56,634 INFO  logic.ProcessingAirplane - The airplane ID-29 expects service
23.06.2015 13:25:56,808 INFO  logic.ProcessingAirplane - Processing of the airplane ID-16 is complete
23.06.2015 13:25:56,808 INFO  logic.ProcessingAirplane - Processing airplane ID-22, passanger count 14, necessary time 1400
23.06.2015 13:25:56,808 INFO  logic.ProcessingAirplane - Use ladder number 5, airplane ID-22
23.06.2015 13:25:57,135 INFO  creator.GenerateAirplane - Generate new airplane ID-30, passanger 69
23.06.2015 13:25:57,135 INFO  logic.ProcessingAirplane - The airplane ID-30 expects service
23.06.2015 13:25:57,199 INFO  logic.ProcessingAirplane - Processing airplane ID-15, passanger count 49, necessary time 4900
23.06.2015 13:25:57,199 INFO  logic.ProcessingAirplane - Use ladder number 4, airplane ID-15
23.06.2015 13:25:57,199 INFO  logic.ProcessingAirplane - Processing of the airplane ID-13 is complete
23.06.2015 13:25:57,639 INFO  creator.GenerateAirplane - Generate new airplane ID-31, passanger 53
23.06.2015 13:25:57,641 INFO  logic.ProcessingAirplane - The airplane ID-31 expects service
23.06.2015 13:25:57,877 INFO  logic.ProcessingAirplane - Processing of the airplane ID-18 is complete
23.06.2015 13:25:57,877 INFO  logic.ProcessingAirplane - Processing airplane ID-19, passanger count 88, necessary time 8800
23.06.2015 13:25:57,877 INFO  logic.ProcessingAirplane - Use terminal number 3, airplane ID-19
23.06.2015 13:25:58,096 INFO  logic.ProcessingAirplane - Processing of the airplane ID-12 is complete
23.06.2015 13:25:58,096 INFO  logic.ProcessingAirplane - Processing airplane ID-25, passanger count 92, necessary time 9200
23.06.2015 13:25:58,096 INFO  logic.ProcessingAirplane - Use ladder number 3, airplane ID-25
23.06.2015 13:25:58,142 INFO  creator.GenerateAirplane - Generate new airplane ID-32, passanger 90
23.06.2015 13:25:58,142 INFO  logic.ProcessingAirplane - The airplane ID-32 expects service
23.06.2015 13:25:58,220 INFO  logic.ProcessingAirplane - Processing of the airplane ID-22 is complete
23.06.2015 13:25:58,220 INFO  logic.ProcessingAirplane - Processing airplane ID-23, passanger count 29, necessary time 2900
23.06.2015 13:25:58,220 INFO  logic.ProcessingAirplane - Use ladder number 5, airplane ID-23
23.06.2015 13:25:58,658 INFO  creator.GenerateAirplane - Generate new airplane ID-33, passanger 31
23.06.2015 13:25:58,659 INFO  logic.ProcessingAirplane - The airplane ID-33 expects service
23.06.2015 13:25:59,161 INFO  creator.GenerateAirplane - Generate new airplane ID-34, passanger 91
23.06.2015 13:25:59,161 INFO  logic.ProcessingAirplane - The airplane ID-34 expects service
23.06.2015 13:25:59,664 INFO  logic.ProcessingAirplane - Processing of the airplane ID-20 is complete
23.06.2015 13:25:59,664 INFO  creator.GenerateAirplane - Generate new airplane ID-35, passanger 75
23.06.2015 13:25:59,666 INFO  logic.ProcessingAirplane - Processing airplane ID-33, passanger count 31, necessary time 3100
23.06.2015 13:25:59,666 INFO  logic.ProcessingAirplane - Use terminal number 2, airplane ID-33
23.06.2015 13:25:59,666 INFO  logic.ProcessingAirplane - The airplane ID-35 expects service
23.06.2015 13:26:00,182 INFO  creator.GenerateAirplane - Generate new airplane ID-36, passanger 50
23.06.2015 13:26:00,182 INFO  logic.ProcessingAirplane - The airplane ID-36 expects service
23.06.2015 13:26:00,588 INFO  logic.ProcessingAirplane - Processing of the airplane ID-17 is complete
23.06.2015 13:26:00,588 INFO  logic.ProcessingAirplane - Processing airplane ID-30, passanger count 69, necessary time 6900
23.06.2015 13:26:00,588 INFO  logic.ProcessingAirplane - Use ladder number 2, airplane ID-30
23.06.2015 13:26:00,683 INFO  creator.GenerateAirplane - Generate new airplane ID-37, passanger 77
23.06.2015 13:26:00,684 INFO  logic.ProcessingAirplane - The airplane ID-37 expects service
23.06.2015 13:26:01,123 INFO  logic.ProcessingAirplane - Processing of the airplane ID-23 is complete
23.06.2015 13:26:01,123 INFO  logic.ProcessingAirplane - Processing airplane ID-26, passanger count 71, necessary time 7100
23.06.2015 13:26:01,123 INFO  logic.ProcessingAirplane - Use ladder number 5, airplane ID-26
23.06.2015 13:26:01,185 INFO  creator.GenerateAirplane - Generate new airplane ID-38, passanger 82
23.06.2015 13:26:01,185 INFO  logic.ProcessingAirplane - The airplane ID-38 expects service
23.06.2015 13:26:01,690 INFO  creator.GenerateAirplane - Generate new airplane ID-39, passanger 58
23.06.2015 13:26:01,691 INFO  logic.ProcessingAirplane - The airplane ID-39 expects service
23.06.2015 13:26:02,099 INFO  logic.ProcessingAirplane - Processing of the airplane ID-15 is complete
23.06.2015 13:26:02,099 INFO  logic.ProcessingAirplane - Processing airplane ID-34, passanger count 91, necessary time 9100
23.06.2015 13:26:02,099 INFO  logic.ProcessingAirplane - Use ladder number 4, airplane ID-34
23.06.2015 13:26:02,194 INFO  creator.GenerateAirplane - Generate new airplane ID-40, passanger 64
23.06.2015 13:26:02,194 INFO  logic.ProcessingAirplane - The airplane ID-40 expects service
23.06.2015 13:26:02,380 INFO  logic.ProcessingAirplane - Processing of the airplane ID-21 is complete
23.06.2015 13:26:02,380 INFO  logic.ProcessingAirplane - Processing airplane ID-31, passanger count 53, necessary time 5300
23.06.2015 13:26:02,380 INFO  logic.ProcessingAirplane - Use ladder number 1, airplane ID-31
23.06.2015 13:26:02,709 INFO  creator.GenerateAirplane - Generate new airplane ID-41, passanger 60
23.06.2015 13:26:02,710 INFO  logic.ProcessingAirplane - The airplane ID-41 expects service
23.06.2015 13:26:02,774 INFO  logic.ProcessingAirplane - Processing of the airplane ID-33 is complete
23.06.2015 13:26:02,774 INFO  logic.ProcessingAirplane - Processing airplane ID-38, passanger count 82, necessary time 8200
23.06.2015 13:26:02,774 INFO  logic.ProcessingAirplane - Use terminal number 2, airplane ID-38
23.06.2015 13:26:03,212 INFO  creator.GenerateAirplane - Generate new airplane ID-42, passanger 28
23.06.2015 13:26:03,212 INFO  logic.ProcessingAirplane - The airplane ID-42 expects service
23.06.2015 13:26:03,716 INFO  creator.GenerateAirplane - Generate new airplane ID-43, passanger 66
23.06.2015 13:26:03,716 INFO  logic.ProcessingAirplane - The airplane ID-43 expects service
